location,lat,long
Abila Airport,36.05097498,24.82593917
Abila Scrapyard,36.07439326,24.84595171
Abila Zacharo,36.06346034,24.85100597
Ahaggo Museum,36.07714268,24.87620236
Albert's Fine Clothing,36.07526565,24.85631049
Brew've Been Served,36.05407725,24.90122501
Carlyle Chemical Inc.,36.05854504,24.88089407
Chostus Hotel,36.07067193,24.89522456
Coffee Cameleon,36.05466818,24.88980643
Desafio Golf Course,36.08955031,24.8606751
Frydos Autosupply n' More,36.05497678,24.90182114
Gelatogalore,36.05975975,24.85802809
General Grocer,36.06037597,24.85652501
Guy's Gyros,36.05577825,24.90252639
Hallowed Grounds,36.06366314,24.88591355
Hippokampos,36.07666171,24.85760464
Kalami Kafenion,36.06583652,24.85237771
Katerina�s Caf�,36.05447777,24.89992241
Kronos Pipe and Irrigation,36.06529091,24.83312665
Maximum Iron and Steel,36.06407489,24.84142595
Nationwide Refinery,36.05845943,24.88549745
Octavio's Office Supplies,36.05859581,24.85795158
Ouzeri Elian,36.05194992,24.87079406
Roberts and Sons,36.06327867,24.85230195
Shoppers' Delight,36.05284234,24.86859932
GAStech,36.04872877,24.8798094
