location,lat,long
Abila Zacharo,36.0634603355,24.8510059678333
Ahaggo Museum,36.07714268,24.8762023633333
Albert's Fine Clothing,36.0752656494737,24.8563104910526
Bean There Done That,36.0488094371053,24.8792164797368
Brew've Been Served,36.054077248972,24.9012250069159
Brewed Awakenings,36.0480280457895,24.8795715252632
Chostus Hotel,36.07067193,24.8952245644444
Coffee Cameleon,36.0546681758621,24.8898064296552
Desafio Golf Course,36.089550314,24.8606751
Frydos Autosupply n' More,36.0549767846154,24.9018211380769
Gelatogalore,36.0597597454348,24.858028093913
General Grocer,36.06037597125,24.8565250075
Guy's Gyros,36.055778253603,24.9025263879412
Hallowed Grounds,36.0636631432812,24.8859135520313
Hippokampos,36.0766617068056,24.8576046361111
Jack's Magical Beans,36.0487108895455,24.878963015
Kalami Kafenion,36.0658365197436,24.8523777064103
Katerina�s Caf�,36.0544781528058,24.8999222825899
Octavio's Office Supplies,36.0585958066667,24.8579515766667
Ouzeri Elian,36.051949754386,24.8707935810526
Roberts and Sons,36.063278665,24.8523019525
Shoppers' Delight,36.0528423382353,24.8685993164706
